"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","IBk","3","NONE","NO_SAMPLING","NONE","0,3871","0,2243","0,38077","0,17434","0","24.0","38.0","446.0","83.0","64,39759"
"BOOKKEEPER","RandomForest","3","BEST_FIRST","NO_SAMPLING","NONE","0,41935","0,24299","0,67816","0,20164","0","26.0","36.0","448.0","81.0","64,39759"
"BOOKKEEPER","NaiveBayes","3","BEST_FIRST","NO_SAMPLING","NONE","1","0,01869","0,82864","0,03025","0","2.0","0.0","484.0","105.0","64,39759"
"BOOKKEEPER","IBk","3","BEST_FIRST","NO_SAMPLING","NONE","0,3908","0,31776","0,44964","0,2246","0","34.0","53.0","431.0","73.0","64,39759"
"BOOKKEEPER","RandomForest","3","BEST_FIRST","UNDER_SAMPLING","NONE","0,54745","0,70093","0,83286","0,51644","0","75.0","62.0","422.0","32.0","45,22706"
"BOOKKEEPER","NaiveBayes","3","BEST_FIRST","UNDER_SAMPLING","NONE","1","0,06542","0,71891","0,10286","0","7.0","0.0","484.0","100.0","45,22706"
"BOOKKEEPER","IBk","3","BEST_FIRST","UNDER_SAMPLING","NONE","0,46154","0,4486","0,54743","0,33657","0","48.0","56.0","428.0","59.0","45,22706"
"BOOKKEEPER","RandomForest","3","BEST_FIRST","OVER_SAMPLING","NONE","0,52475","0,49533","0,71686","0,405","0","53.0","48.0","436.0","54.0","73,62784"
"BOOKKEEPER","NaiveBayes","3","BEST_FIRST","OVER_SAMPLING","NONE","0,2","0,00935","0,72628","0,00172","0","1.0","4.0","480.0","106.0","73,62784"
"BOOKKEEPER","IBk","3","BEST_FIRST","OVER_SAMPLING","NONE","0,43056","0,28972","0,43904","0,23494","0","31.0","41.0","443.0","76.0","73,62784"
"BOOKKEEPER","RandomForest","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,74089","0","0","0.0","0.0","484.0","107.0","64,39759"
"BOOKKEEPER","NaiveBayes","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,82864","0","0","0.0","0.0","484.0","107.0","64,39759"
"BOOKKEEPER","IBk","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,54237","0,29907","0,44964","0,29478","0","32.0","27.0","457.0","75.0","64,39759"
"BOOKKEEPER","RandomForest","4","NONE","NO_SAMPLING","NONE","0,56","0,41176","0,85654","0,42035","0","28.0","22.0","526.0","40.0","72,93497"
