@relation training_step_28

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {true, false}

@data
135,5,2,2,1,1,1,3,2,2,false
1010,323,5,48,9.6,1,27,275,247,64,false
0,0,0,0,0,0,0,0,0,0,false
71,20,1,13,13,1,13,7,7,20,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
5384,149,8,62,7.75,2,24,87,42,18,true
17,39,1,39,39,1,39,0,0,39,false
0,0,0,0,0,0,0,0,0,0,false
84,2,1,1,1,1,1,1,1,2,false
120,1,1,1,1,1,1,0,0,1,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
240,6,2,3,1.5,1,2,3,2,3,false
503,12,3,6,2,1,4,6,5,4,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
60,22,2,14,7,2,7,8,4,11,true
10,61,1,61,61,1,61,0,0,61,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,true
17,8,1,4,4,1,4,4,4,8,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
33,61,1,61,61,1,61,0,0,61,false
66,17,2,6,3,1,4,11,9,8,false
154,55,2,22,11,1,15,33,26,27,true
72,112,1,112,112,1,112,0,0,112,false
144,39,2,11,5.5,1,10,28,27,19,false
300,57,2,18,9,1,17,39,38,28,true
52,2,1,1,1,1,1,1,1,2,false
224,73,2,37,18.5,1,36,36,35,36,false
32,19,1,12,12,1,12,7,7,19,false
31,14,1,8,8,1,8,6,6,14,false
162,32,2,28,14,1,25,4,3,16,false
419,29,4,17,4.25,1,10,12,9,7,true
22,7,2,3,1.5,1,2,4,2,3,false
0,0,0,0,0,0,0,0,0,0,false
9,13,1,7,7,1,7,6,6,13,false
86,11,2,5,2.5,1,4,6,4,5,false
0,0,0,0,0,0,0,0,0,0,false
47,12,1,6,6,1,6,6,6,12,false
0,0,0,0,0,0,0,0,0,0,false
68,2,1,1,1,1,1,1,1,2,false
103,163,1,163,163,1,163,0,0,163,false
339,29,3,18,6,1,10,11,6,9,false
952,40,4,21,5.25,1,11,19,10,10,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
44,71,1,71,71,1,71,0,0,71,false
51,83,1,83,83,1,83,0,0,83,false
48,78,1,78,78,1,78,0,0,78,false
60,90,1,90,90,1,90,0,0,90,true
39,2,1,1,1,1,1,1,1,2,false
45,4,1,2,2,1,2,2,2,4,false
183,22,3,16,5.333333,1,13,6,3,7,false
48,2,1,1,1,1,1,1,1,2,false
104,27,2,23,11.5,1,21,4,2,13,true
92,26,2,24,12,2,12,2,1,13,true
53,1,1,0,0,1,0,1,1,1,false
0,0,0,0,0,0,0,0,0,0,false
96,11,2,5,2.5,1,4,6,5,5,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
51,6,1,5,5,1,5,1,1,6,true
0,0,0,0,0,0,0,0,0,0,false
120,31,2,8,4,1,7,23,18,15,true
31,4,1,2,2,1,2,2,2,4,false
30,6,1,3,3,1,3,3,3,6,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
127,26,2,12,6,1,10,14,13,13,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
70,4,1,2,2,1,2,2,2,4,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
45,2,1,1,1,1,1,1,1,2,false
66,128,2,128,64,2,64,0,0,64,false
198,38,3,19,6.333333,1,11,19,11,12,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
1869,66,6,51,8.5,1,31,15,5,11,false
209,17,2,9,4.5,1,9,8,7,8,false
13,4,1,4,4,1,4,0,0,4,false
86,126,1,126,126,1,126,0,0,126,false
160,119,2,118,59,1,117,1,1,59,false
252,173,2,171,85.5,1,169,2,2,86,false
2159,131,8,67,8.375,2,22,64,25,16,true
13,4,1,4,4,1,4,0,0,4,false
267,17,2,12,6,1,8,5,5,8,false
504,106,3,5,1.666667,1,4,101,92,35,true
3114,61,6,36,6,1,11,25,6,10,false
216,41,2,18,9,1,16,23,19,20,false
212,12,2,10,5,1,9,2,2,6,false
4291,259,8,149,18.625,1,49,110,38,32,true
171,6,1,3,3,1,3,3,3,6,false
266,8,2,5,2.5,1,4,3,2,4,false
89,6,1,4,4,1,4,2,2,6,false
782,103,3,62,20.666667,1,31,41,32,34,true
399,28,3,25,8.333333,1,15,3,2,9,false
0,0,0,0,0,0,0,0,0,0,false
760,160,3,70,23.333333,1,38,90,57,53,false
132,4,1,2,2,1,2,2,2,4,false
62,93,1,93,93,1,93,0,0,93,false
187,2,1,1,1,1,1,1,1,2,false
2475,237,5,142,28.4,1,109,95,62,47,true
194,44,2,31,15.5,1,29,13,11,22,false
471,150,4,135,33.75,3,60,15,14,37,false
863,220,4,163,40.75,1,87,57,36,55,false
66,2,1,1,1,1,1,1,1,2,false
3226,175,6,112,18.666667,1,45,63,30,29,true
10603,388,6,149,24.833333,1,78,239,190,64,true
1054,59,4,41,10.25,2,15,18,16,14,true
848,43,4,25,6.25,2,18,18,11,10,false
1610,328,4,34,8.5,1,25,294,286,82,true
85,24,1,11,11,1,11,13,13,24,false
47,14,1,7,7,1,7,7,7,14,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
51,2,1,2,2,1,2,0,0,2,false
44,6,1,4,4,1,4,2,2,6,false
37,26,1,14,14,1,14,12,12,26,false
35,20,1,10,10,1,10,10,10,20,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
11,5,1,4,4,1,4,1,1,5,false
13,7,1,5,5,1,5,2,2,7,false
8,7,1,5,5,1,5,2,2,7,false
17,7,1,5,5,1,5,2,2,7,false
11,5,1,4,4,1,4,1,1,5,false
81,15,1,9,9,1,9,6,6,15,false
110,18,1,9,9,1,9,9,9,18,false
29,31,1,17,17,1,17,14,14,31,false
253,29,1,19,19,1,19,10,10,29,false
64,8,1,7,7,1,7,1,1,8,false
74,21,1,10,10,1,10,11,11,21,false
0,0,0,0,0,0,0,0,0,0,false
161,10,1,4,4,1,4,6,6,10,false
38,12,1,6,6,1,6,6,6,12,false
27,16,1,12,12,1,12,4,4,16,false
172,7,1,5,5,1,5,2,2,7,false
20,5,1,4,4,1,4,1,1,5,false
0,0,0,0,0,0,0,0,0,0,false
62,3,1,1,1,1,1,2,2,3,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
