@relation training_step_4

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {true, false}

@data
62,100,1,100,100,1,100,0,0,100,false
143,258,1,258,258,1,258,0,0,258,false
65,101,1,101,101,1,101,0,0,101,false
94,178,1,178,178,1,178,0,0,178,false
11,32,1,32,32,1,32,0,0,32,false
7,28,1,28,28,1,28,0,0,28,false
21,45,1,45,45,1,45,0,0,45,false
17,38,2,35,17.5,2,28,3,3,19,false
22,35,2,34,17,2,33,1,1,17,false
115,89,3,82,27.333333,2,75,7,6,29,false
270,271,2,261,130.5,2,211,10,10,135,false
50,87,1,87,87,1,87,0,0,87,false
49,82,1,82,82,1,82,0,0,82,false
14,45,1,45,45,1,45,0,0,45,false
90,143,1,143,143,1,143,0,0,143,false
58,98,1,98,98,1,98,0,0,98,false
20,46,1,46,46,1,46,0,0,46,false
6,32,1,32,32,1,32,0,0,32,false
61,102,1,102,102,1,102,0,0,102,false
70,112,1,112,112,1,112,0,0,112,false
46,85,1,85,85,1,85,0,0,85,false
25,57,1,57,57,1,57,0,0,57,false
141,210,1,210,210,1,210,0,0,210,false
14,41,1,41,41,1,41,0,0,41,false
9,34,1,34,34,1,34,0,0,34,false
92,140,1,140,140,1,140,0,0,140,false
49,85,1,85,85,1,85,0,0,85,false
22,49,1,49,49,1,49,0,0,49,false
45,111,1,111,111,1,111,0,0,111,false
19,46,1,46,46,1,46,0,0,46,false
52,91,1,91,91,1,91,0,0,91,false
100,151,1,151,151,1,151,0,0,151,false
42,73,1,73,73,1,73,0,0,73,false
18,44,1,44,44,1,44,0,0,44,false
20,47,1,47,47,1,47,0,0,47,false
35,66,1,66,66,1,66,0,0,66,false
96,153,1,153,153,1,153,0,0,153,false
62,105,1,105,105,1,105,0,0,105,false
22,49,1,49,49,1,49,0,0,49,false
24,53,1,53,53,1,53,0,0,53,false
34,125,1,125,125,1,125,0,0,125,false
55,98,1,98,98,1,98,0,0,98,false
15,40,1,40,40,1,40,0,0,40,false
202,169,2,169,84.5,2,141,0,0,84,false
147,235,1,235,235,1,235,0,0,235,false
107,177,1,177,177,1,177,0,0,177,false
41,74,1,74,74,1,74,0,0,74,false
54,115,1,115,115,1,115,0,0,115,false
157,134,2,134,67,2,124,0,0,67,false
22,49,1,49,49,1,49,0,0,49,false
60,104,1,104,104,1,104,0,0,104,false
11,34,1,34,34,1,34,0,0,34,false
99,101,2,101,50.5,2,72,0,0,50,false
48,84,1,84,84,1,84,0,0,84,false
144,213,1,213,213,1,213,0,0,213,false
11,34,1,34,34,1,34,0,0,34,false
19,46,1,46,46,1,46,0,0,46,false
82,133,1,133,133,1,133,0,0,133,false
100,151,1,151,151,1,151,0,0,151,false
496,425,2,412,206,2,370,13,13,212,false
30,63,1,63,63,1,63,0,0,63,false
61,96,1,96,96,1,96,0,0,96,false
56,93,1,93,93,1,93,0,0,93,false
42,75,1,75,75,1,75,0,0,75,false
