"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","IBk","3","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,50639","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","RandomForest","3","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,49544","-0,00996","0","0.0","6.0","542.0","5.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,49635","-0,0081","0","0.0","4.0","544.0","5.0","82,94789"
"SYNCOPE","IBk","3","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,49544","-0,00996","0","0.0","6.0","542.0","5.0","82,94789"
"SYNCOPE","RandomForest","3","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,50639","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST_FIRST","OVER_SAMPLING","NONE","0,00904","1","0,49453","0","0","5.0","548.0","0.0","0.0","82,94789"
"SYNCOPE","IBk","3","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,50639","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","RandomForest","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,50639","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,49453","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","IBk","3","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,50639","0","0","0.0","0.0","548.0","5.0","82,94789"
"SYNCOPE","RandomForest","4","NONE","NO_SAMPLING","NONE","0","0","0,52479","0","0,16667","0.0","0.0","623.0","9.0","83,69032"
"SYNCOPE","NaiveBayes","4","NONE","NO_SAMPLING","NONE","0,01765","0,33333","0,4662","0,00665","0,6","3.0","167.0","456.0","6.0","83,69032"
"SYNCOPE","IBk","4","NONE","NO_SAMPLING","NONE","0,5","0,11111","0,51026","0,17756","0,33333","1.0","1.0","622.0","8.0","83,69032"
"SYNCOPE","RandomForest","4","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,57696","0","0,8","0.0","0.0","623.0","9.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,5362","0","0,5","0.0","0.0","623.0","9.0","83,69032"
"SYNCOPE","IBk","4","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,54521","0","1","0.0","0.0","623.0","9.0","83,69032"
"SYNCOPE","RandomForest","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,03448","0,55556","0,68432","0,03917","0,5","5.0","140.0","483.0","4.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,02273","0,11111","0,65614","0,01443","0,6","1.0","43.0","580.0","8.0","83,69032"
"SYNCOPE","IBk","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,01695","0,88889","0,67906","0,00547","0,5","8.0","464.0","159.0","1.0","83,69032"
"SYNCOPE","RandomForest","4","BEST_FIRST","OVER_SAMPLING","NONE","0,01262","0,44444","0,5239","-0,00324","0,8","4.0","313.0","310.0","5.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST_FIRST","OVER_SAMPLING","NONE","0,01282","0,88889","0,54271","-0,00288","0,6","8.0","616.0","7.0","1.0","83,69032"
"SYNCOPE","IBk","4","BEST_FIRST","OVER_SAMPLING","NONE","0,01262","0,44444","0,54245","-0,00324","0,8","4.0","313.0","310.0","5.0","83,69032"
"SYNCOPE","RandomForest","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","1","0,11111","0,57714","0,19772","0,8","1.0","0.0","623.0","8.0","83,69032"
"SYNCOPE","NaiveBayes","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,5362","0","0,5","0.0","0.0","623.0","9.0","83,69032"
"SYNCOPE","IBk","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","1","0,11111","0,54521","0,19772","1","1.0","0.0","623.0","8.0","83,69032"
"SYNCOPE","RandomForest","5","NONE","NO_SAMPLING","NONE","0","0","0,51487","0","0,25786","0.0","0.0","708.0","162.0","81,66491"
"SYNCOPE","NaiveBayes","5","NONE","NO_SAMPLING","NONE","0,25","0,00617","0,43788","0,0031","0,5625","1.0","3.0","705.0","161.0","81,66491"
"SYNCOPE","IBk","5","NONE","NO_SAMPLING","NONE","0,33333","0,00617","0,41177","0,00539","0,5625","1.0","2.0","706.0","161.0","81,66491"
"SYNCOPE","RandomForest","5","BEST_FIRST","NO_SAMPLING","NONE","0,25","0,00617","0,42602","0,0031","0,55","1.0","3.0","705.0","161.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST_FIRST","NO_SAMPLING","NONE","0,5","0,00617","0,73172","0,00769","0,27673","1.0","1.0","707.0","161.0","81,66491"
"SYNCOPE","IBk","5","BEST_FIRST","NO_SAMPLING","NONE","0,375","0,01852","0,53165","0,01809","0,4","3.0","5.0","703.0","159.0","81,66491"
"SYNCOPE","RandomForest","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,30372","0,65432","0,67331","0,21528","0,55625","106.0","243.0","465.0","56.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,42857","0,25926","0,5913","0,21254","0,4","42.0","56.0","652.0","120.0","81,66491"
"SYNCOPE","IBk","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,30398","0,66049","0,62879","0,21653","0,4625","107.0","245.0","463.0","55.0","81,66491"
"SYNCOPE","RandomForest","5","BEST_FIRST","OVER_SAMPLING","NONE","0,30769","0,02469","0,42101","0,01856","0,55625","4.0","9.0","699.0","158.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST_FIRST","OVER_SAMPLING","NONE","0,375","0,01852","0,73132","0,01809","0,55625","3.0","5.0","703.0","159.0","81,66491"
